low_devices,low_hours,medium_devices,medium_hours,high_devices,high_hours,daily_kwh
7,2.2840435290631467,3,9.576601003000462,0,14.727553632769201,1.936
8,1.1440914600706171,4,11.669008373781937,2,20.1461807384097,15.664
6,5.322370567394016,1,7.72818476537109,0,1.1625250200535002,1.07
3,7.882616200647517,3,6.134391825727779,2,20.778629354935372,13.988
7,1.4553611508969566,4,11.437740909786665,0,23.209536760714865,3.284
5,5.782844631778207,1,7.70996323560883,2,20.16348296993178,13.584
3,5.637655990477874,0,4.42882183698352,1,12.96156448708965,3.478
2,3.7660516520127008,1,11.193247523731737,1,17.72725590469768,6.369
8,7.728204170445444,3,10.289872335459666,0,18.18836253315976,4.413
9,1.9864695748233385,3,9.824166788294436,0,2.714664804634729,3.014
7,2.391009770739207,0,1.0607432883596264,0,19.755612854461187,0.767
1,7.484106149593443,2,8.161847280521389,0,22.044072537506956,1.802
9,1.6678708154328792,3,5.07900077418093,1,16.38334881126297,6.758
6,4.305504476133645,2,2.3155367053213185,2,17.404630106128884,12.041
1,2.65189443824269,4,3.8167515503745637,1,1.929972559383921,1.456
3,4.559994838152919,0,10.983231213187024,0,6.733721270424124,0.372
4,3.028260170396376,4,2.7734341597940486,2,22.38304600387918,14.694
6,7.182961812432078,3,4.567795231058014,1,3.808022958115487,3.396
9,2.595546137793592,0,5.698185674888819,0,19.814339616217342,0.0
5,2.8858863365896505,0,3.685380744725516,2,4.870693969977403,3.312
8,1.4542457297628708,0,3.7930695532777916,0,6.678149445287827,0.718
5,2.867467099926995,0,11.742764514159182,0,10.453851306319319,0.718
7,5.440459412909546,4,8.487759967102434,0,13.211495416294136,4.1
7,6.331337307301023,3,3.614012983916396,2,17.74897601807277,11.157
8,5.434707975326263,4,6.893521524822344,1,3.076664711251391,3.397
6,5.136250602317693,4,8.453207980265105,2,1.3815200653406916,4.289
3,2.22056500303494,2,8.600315119127124,2,9.894912964912361,6.935
7,2.5998501525810975,1,2.924504198055298,2,23.58987189657702,14.485
4,2.6929660363031616,3,2.024130445864891,0,21.635962432926515,0.747
9,5.902504809809399,0,10.313272564621364,2,20.695458713196125,13.605
6,7.549444959546633,0,9.63874716225338,2,16.38672985842726,9.587
9,1.0354310869235308,2,2.7688885655924853,0,13.620877155431481,1.139
6,2.5698851662239184,2,8.833971434822894,0,6.456729012426401,2.136
8,3.1564255429667245,2,6.967942536103893,0,12.70272376729148,1.014
6,7.244325886239793,4,7.942524885969892,2,19.280659981457912,15.97
1,4.4943536591932665,4,7.292046191301014,0,18.676742329045105,2.302
1,7.677500039018112,3,11.063508292424935,1,9.513650105875222,5.695
3,1.5274237920428975,3,4.362667212159,0,5.390953716457958,1.014
1,4.897608837208451,2,11.297702515768592,1,17.00868532352438,6.429
6,4.628307566546157,1,10.65110379120751,2,18.0376782083467,12.115
1,5.9623769783708305,0,7.0810197459869855,2,7.8197333038993655,4.006
8,1.0362940394179074,4,7.906838564434997,1,5.468300930776971,3.882
8,3.365966097960751,3,5.131412479039384,2,3.161584616339987,3.213
9,7.872886218173718,1,10.228268522762997,2,20.78930622116853,14.344
1,6.758203924617607,3,4.962097055523891,1,3.92239179099335,3.175
5,1.3617720481802538,3,6.844900947249628,1,13.43460779703245,5.737
7,7.786758069799113,3,8.860546145979473,0,1.9445528856611431,2.157
7,2.2903357203195904,1,1.8896026327891744,0,10.85123292362248,0.0
5,7.406496093385363,0,5.865874527042148,1,6.5151092606202745,2.602
7,6.11027521593273,4,1.5248774046081368,1,14.018855841363754,5.594
3,1.100754420408291,4,2.2767990455760785,1,2.058060766500313,1.231
5,4.25271669057728,3,8.147510509070397,0,2.1053552565317757,3.088
6,2.8262553633919976,4,1.1683499431942321,1,22.469035085828107,8.939
4,7.070392534885026,1,8.000439571906124,0,19.421833777695195,1.066
2,4.207770233440616,2,7.001784682475284,0,22.653690601860077,1.396
2,5.32777719036525,4,4.702096363775992,2,16.081620613757067,11.165
2,4.472262180053843,2,8.621793945611333,0,9.01174190242354,1.652
4,6.254303261486008,1,9.875182131939905,0,23.781618266015485,1.077
4,6.434890725193978,1,4.7488389427831965,0,22.407418488881987,0.633
7,1.7218670818515283,0,10.928081973475233,2,12.620804566300714,8.303
9,1.6998942101330436,4,1.588338264221058,2,23.046454428313563,14.328
4,5.422860485188595,2,5.932900741761517,1,7.743847749055484,4.03
9,2.4890952651696026,3,11.408139971698592,2,18.96980916083766,15.192
9,5.327526443213827,1,2.1123494373506926,1,2.934456540644941,1.96
8,6.753020415032493,1,8.768664498721458,0,2.8710219547636946,0.744
4,7.353855944439824,0,7.510776127034128,2,9.05501967410721,5.171
3,5.935590550076619,4,3.7359656987331675,1,8.595808167439266,3.173
2,1.3941229297728615,3,2.306997078948791,1,3.7031036758734124,1.461
9,5.083581355680117,0,11.583898033219961,2,9.622023329045193,6.805
6,6.614764743187139,4,11.75690735629698,1,13.788115888779444,8.058
5,7.433810006950616,4,3.7828918478816522,2,16.994455831452893,11.538
1,5.090200183461702,4,10.91273811540088,1,2.045266747853531,3.48
8,2.941668280867929,3,3.0693327569613746,0,11.665063313619589,1.56
5,5.887131998138216,0,6.897060029785324,2,8.119135174585537,4.408
4,1.932295876566248,4,1.8382041755907945,0,22.63223202411382,1.51
9,7.529099383478092,1,10.526702784504492,1,2.0400294124423564,1.553
7,6.6738733154728305,0,11.860037422464389,1,4.459588495381148,1.182
6,4.983570284160233,2,1.698630125490015,2,1.8469029556278018,2.488
1,7.053056633785372,4,9.941911100430854,2,23.993506485581005,17.487
5,6.299568414297191,4,5.156356042033651,0,6.544951143581533,2.043
9,2.9231225791813613,0,3.279504139088621,2,21.19907535202142,11.375
3,6.965270502229781,2,7.070975226519341,1,13.901573345313885,5.41
9,1.2014787341933728,0,9.306509812409809,2,15.267119681129687,8.84
6,3.454112911646179,3,7.489094555400964,1,10.021613037293843,5.345
3,4.5979264241186755,1,9.620183140152573,0,10.120483993389215,1.419
5,7.486113376130461,4,6.41327922387492,1,6.939620930876042,4.733
8,5.345639790954639,4,4.821547490479556,1,5.810008194805826,2.921
9,5.883673015878522,2,2.980739995842284,1,17.019533723222818,6.805
9,4.606652384049476,2,11.704213841971148,2,14.844514097442085,11.592
2,2.2390733899372277,3,1.9757278713276119,1,3.774625035313819,1.38
9,7.25952084027148,3,2.416232381296083,1,8.592288806133574,3.789
9,3.641001756694508,2,1.0285452682201122,2,20.970925461818496,13.092
8,2.2916471354946415,0,3.3028425567038133,2,9.520858364201786,7.175
7,1.4363895375786901,1,2.6251300109684936,0,4.061689357512,0.192
3,1.213305069135159,2,10.539364791821956,2,9.145373428241886,6.687
7,4.947755644131854,4,10.247809844657242,1,3.0516995603772923,4.396
9,5.155147174878341,0,8.470125510589385,0,19.15093848796878,0.259
6,6.21807631929031,1,5.748255008526473,2,3.9343469642979665,3.35
9,7.2975317800150865,4,7.683107445229301,1,6.620122575687054,4.237
9,1.7124773083428262,0,2.6814505310276524,0,6.657027752843687,0.22
4,2.99566618085693,2,2.9071095482423033,1,21.62560476640778,7.128
8,7.276271840818145,4,7.3359825958622595,2,22.100099100967228,15.919
6,2.1962131117304606,0,8.355075419168742,1,22.375647749934473,7.932
3,2.3093062399026634,4,4.5604716004466805,0,10.785038088177586,2.282
1,4.708880162267817,3,8.779531052088888,0,18.658928533185293,2.053
4,5.157181682905292,4,5.061535296608858,2,11.448163361039292,8.259
5,3.256476914823061,1,9.908618904400983,1,6.856735059566569,3.598
8,1.7468947507940524,2,10.358002060181002,1,18.157414087620516,7.596
2,7.568383197747265,4,2.9935637278222615,2,2.5294141494358824,2.887
8,6.253513473357195,2,9.794908440114671,0,19.978051563934336,3.01
5,5.656380544873401,4,6.753719672460313,2,9.253101134840557,7.867
8,3.1096451191489947,2,9.223703181938763,0,12.562568972127021,2.231
9,3.7403747714105133,0,6.850432276569914,0,2.5322395849887904,0.626
6,6.11384395766511,2,8.630893681436723,2,4.834807479847813,3.981
1,7.257248081356703,3,9.674569323469838,1,4.488522233853277,3.086
7,2.431812152186243,0,8.854704904459755,1,12.361574204009841,3.555
1,3.65175095889841,4,6.0270024120984615,2,14.891031057667787,12.385
4,6.04025575582252,3,8.05262396173827,0,16.960814222743302,2.265
4,5.1932055534412855,1,10.094787105899862,2,23.05872027497264,14.315
7,5.304651842068581,1,11.030376497272611,1,4.199672465290423,2.304
2,1.1267712867458837,0,10.593362998385667,0,22.438720497123086,0.925
8,2.0677733003998293,4,7.3391719618349445,2,14.954446066805685,11.718
6,1.7297287623626665,2,10.244835951784653,0,21.9457825598814,1.528
4,7.089274534434898,0,6.707218628386793,0,14.599335022133372,0.19
